NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Flushing-Main St,40.75959999915012,-73.83003000262508,good,good,good,good
Mets-Willets Point,40.75462199881262,-73.8456249984179,good,good,good,good
111 St,40.75172999941711,-73.85533399834884,good,good,Not working,skip
103 St-Corona Plaza,40.749865000555545,-73.86269999830412,good,good,Not working,skip
Junction Blvd,40.74914499948836,-73.86952700103515,good,good,good,good
90 St-Elmhurst Av,40.74840800060913,-73.87661299986985,good,good,Not working,skip
82 St-Jackson Hts,40.747658999559135,-73.88369700071884,good,good,Not working,skip
74 St-Broadway,40.746867573829114,-73.8912051289911,good,good,good,good
69 St,40.746324999410284,-73.8964029993185,good,good,good,good
Woodside-61 St,40.745630001138395,-73.90298400173006,good,good,good,good
52 St,40.744149001021576,-73.91254899891254,good,good,good,good
46 St,40.74313200060382,-73.91843500103973,good,good,good,good
40 St,40.74378100149132,-73.9240159984882,good,good,good,good
33 St,40.74458699983993,-73.93099699953838,good,good,good,good
Queensboro Plz,40.750635651014804,-73.9401635351909,good,good,good,good
Court Sq,40.74702299889643,-73.94526400039679,good,good,good,good
Hunters Point Av,40.74221599986316,-73.9489160009391,good,good,good,good
Vernon Blvd-Jackson Av,40.74262599969749,-73.95358099875249,good,good,good,good
Grand Central-42 St,40.751431000286864,-73.97604100111508,good,good,good,good
5 Av-Bryant Pk,40.75382100064824,-73.98196299856706,good,good,good,good
Times Sq-42 St,40.755477001982506,-73.98769099825152,good,good,good,good
34 St-Hudson Yards,40.75544635961596,-74.00219709442206,good,good,good,good
