NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
New Lots Av,40.6663149325969,-73.88411070800329,Not working,no train,Not working,no train
Van Siclen Av,40.665517963059635,-73.88940491730106,Not working,no train,Not working,no train
Pennsylvania Av,40.66471445143568,-73.89488591154061,Not working,no train,Not working,no train
Junius St,40.66358900181724,-73.90244864183562,Not working,no train,Not working,no train
Rockaway Av,40.66261748815223,-73.90895833584449,Not working,no train,Not working,no train
Saratoga Av,40.6615297898075,-73.91633025007947,Not working,no train,Not working,no train
Sutter Av-Rutland Road,40.66476678877493,-73.92252118536001,Not working,no train,Not working,no train
Crown Hts-Utica Av,40.66897831107809,-73.93293256081851,Not working,no train,Not working,no train
Kingston Av,40.66948144864978,-73.94215978392963,Not working,no train,Not working,no train
Nostrand Av,40.66993815093054,-73.9504262489579,Not working,no train,Not working,no train
Franklin Av,40.67076515344894,-73.9580997367769,Not working,no train,Not working,no train
Eastern Pkwy-Bklyn Museum,40.67203223545925,-73.96422203748425,Not working,no train,Not working,no train
Grand Army Plaza,40.6752946951032,-73.9709563319228,Not working,no train,Not working,no train
Bergen St,40.68086213682956,-73.97499915116808,Not working,no train,Not working,no train
Atlantic Av-Barclay's Center,40.68442016526762,-73.97754993539385,Not working,no train,Not working,no train
Nevins St,40.68831058019022,-73.98040679874578,Not working,no train,Not working,no train
Hoyt St,40.69054418535472,-73.98506379575646,Not working,no train,Not working,no train
Borough Hall,40.693218999611084,-73.98999799960687,Not working,no train,Not working,no train
Clark St,40.69746599996469,-73.99308599821961,Not working,no train,Not working,no train
Fulton St,40.70941599925865,-74.00657099970202,Not working,no train,Not working,no train
Wall St,40.706820999753376,-74.00909999844257,Not working,no train,Not working,no train
Park Pl,40.713050999077694,-74.00881099997359,Not working,no train,Not working,no train
Chambers St,40.71547800011327,-74.00926600170112,Not working,no train,Not working,no train
14 St,40.737825999728116,-74.00020100063497,Not working,no train,Not working,no train
34 St-Penn Station,40.75037300003949,-73.99105699913983,Not working,no train,Not working,no train
Times Sq-42 St,40.75528999995681,-73.98749500051885,Not working,no train,Not working,no train
72 St,40.77845300068614,-73.98197000159583,Not working,no train,Not working,no train
96 St,40.79391900121471,-73.97232299915696,Not working,no train,Not working,no train
Central Park North (110 St),40.79907499977324,-73.95182200176913,Not working,no train,Not working,no train
116 St,40.802097999133004,-73.94962500096905,Not working,no train,Not working,no train
125 St,40.807753999182815,-73.94549500011411,Not working,no train,Not working,no train
135 St,40.8142290003391,-73.94077000106708,Not working,no train,Not working,no train
145 St,40.82042099969279,-73.93624499873299,Not working,no train,Not working,no train
Harlem-148 St,40.82388000080457,-73.93647000005559,Not working,no train,Not working,no train
