NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Eastchester-Dyre Av,40.88829999901007,-73.8308340021742,good,good,good,good
Baychester Av,40.87866300037311,-73.83859099802153,good,good,good,good
Gun Hill Rd,40.86952599962676,-73.84638400151765,good,good,good,good
Pelham Pkwy,40.858984999820116,-73.85535900043564,good,good,good,good
Morris Park,40.85436399966426,-73.86049500117254,good,good,good,good
Pelham Pkwy,40.8571924091606,-73.86748067850041,good,good,good,good
Allerton Av,40.86548337793927,-73.86723422851625,good,good,good,good
Burke Av,40.87125880254771,-73.86705361747603,good,good,good,good
Gun Hill Rd,40.877839385172024,-73.86613410538703,good,good,good,good
219 St,40.883887974625274,-73.8625097078866,good,good,good,good
225 St,40.88802825863786,-73.86021461772737,good,good,good,good
233 St,40.89314324138378,-73.85736239521543,good,good,good,good
Nereid Av (238 St),40.898286515575286,-73.8543153107622,good,good,good,good
Bronx Park East,40.848768666338934,-73.86835609178098,good,good,good,good
E 180 St,40.8418630412186,-73.87334609510884,good,good,good,good
West Farms Sq-E Tremont Av,40.84020763241799,-73.87996127877184,good,good,good,good
174 St,40.837195550170605,-73.88769359812888,good,good,good,good
Freeman St,40.829987446384116,-73.89175225349464,good,good,good,good
Simpson St,40.823976841237396,-73.89306639507903,good,good,good,good
Intervale Av,40.822142131170786,-73.89661738461646,good,good,good,good
Prospect Av,40.81948726483844,-73.90177778730917,good,good,good,good
Jackson Av,40.81643746686396,-73.9077019387083,good,good,good,good
3 Av-149 St,40.816029252510006,-73.91779152760981,good,good,good,good
149 St-Grand Concourse,40.81833014409742,-73.92672247438611,good,good,good,good
138 St-Grand Concourse,40.81322399958908,-73.92984899935611,good,good,good,good
125 St,40.804138000587244,-73.93759400055725,good,good,good,good
86 St,40.77949199820952,-73.95558899985132,good,good,good,good
Lexington Av-59 St,40.762526000304575,-73.9679670004732,good,good,good,good
Grand Central-42 St,40.75180742981634,-73.9767132992584,good,good,good,good
Union Sq-14 St,40.734673000996125,-73.98995099881881,good,good,good,good
Brooklyn Bridge-City Hall,40.713064999433136,-74.0041310005885,good,good,good,good
Fulton St,40.710367998822136,-74.00950899856461,good,good,good,good
Wall St,40.70755700086603,-74.01186199860112,good,good,good,good
Bowling Green,40.70491399928076,-74.01400799803432,good,good,good,good
Borough Hall,40.692403999991036,-73.99015100090539,good,good,good,good
Nevins St,40.68831058019022,-73.98040679874578,good,good,good,good
Atlantic Av-Barclay's Center,40.68442016526762,-73.97754993539385,good,good,good,good
Franklin Av,40.67076515344894,-73.9580997367769,good,good,good,good
President St,40.667883603536815,-73.95058920022207,good,good,good,good
Sterling St,40.6627729934283,-73.95072891124937,good,good,good,good
Winthrop St,40.65665931376077,-73.95007934590994,good,good,good,good
Church Av,40.6508606878022,-73.94945514035334,good,good,good,good
Beverly Rd,40.64512351894373,-73.94884798381702,good,good,good,good
Newkirk Av,40.63999124275311,-73.94829990822407,good,good,good,good
Brooklyn College-Flatbush Av,40.63284240700742,-73.94754120734406,good,good,good,good
